SEXO,EDAD,a1992,a1993,a1994,a1995,a1996,a1997,a1998,a1999,a2000,a2001,a2002,a2003,a2004,a2005,a2006,a2007,a2008,a2009,a2010,a2011,a2012,a2013,a2014,a2015,a2016,a2017,a2018,a2019,a2020,a2021,a2022,a2023,a2024,a2025,a2026,a2027,a2028,a2029,a2030,a2031,a2032,a2033,a2034,a2035,a2036,a2037,a2038,a2039,a2040,a2041,a2042,a2043,a2044,a2045,a2046,a2047,a2048,a2049,a2050
2,21,120067,120540,122498,124897,126778,126998,126159,124855,124347,124973,126850,128786,129366,128984,128877,130285,133807,139372,146791,149027,151578,147831,144017,142076,139947,138495,138537,138253,137967,134714,131570,128083,124230,121720,119741,119735,122004,125578,128822,129630,129016,126956,125247,125943,128000,125311,118770,115266,115173,116493,117446,117527,117118,116483,115679,114729,113659,112493,111257
2,22,120810,120028,120508,122472,124880,126771,127002,126170,124872,124369,125003,126893,128924,129527,129216,129150,130623,134124,139685,147268,149584,151914,148288,144562,142888,141730,142135,142161,141838,139477,135153,131777,128240,124375,121862,119883,119877,122145,125719,128963,129771,129157,127099,125390,126087,128143,125456,118916,115413,115321,116640,117594,117675,117267,116632,115828,114879,113809,112644
2,23,122482,120769,119995,120483,122457,124876,126776,127014,126188,124896,124401,125049,127040,129095,129773,129506,129510,130962,134460,140196,147861,149969,152434,148908,145485,144907,145550,146233,146213,143547,139976,135389,131958,128408,124539,122026,120046,120041,122309,125882,129126,129934,129321,127263,125556,126252,128309,125622,119085,115583,115491,116811,117764,117846,117438,116804,116000,115051,113982
2,24,123762,122440,120737,119971,120470,122454,124882,126789,127033,126213,124930,124450,125205,127220,129353,130076,129882,129864,131313,134995,140818,148296,150553,153128,149938,147740,148844,150123,150756,148122,144106,140242,135593,132147,128592,124724,122211,120233,120227,122495,126067,129310,130119,129507,127450,125744,126440,128496,125811,119276,115775,115683,117003,117957,118038,117631,116997,116194,115245
2,25,124199,123718,122406,120711,119957,120467,122460,124896,126808,127057,126246,124980,124610,125391,127487,129666,130464,130247,130228,131867,135639,141289,148928,151303,154238,152361,151736,153754,154980,152807,148724,144394,140463,135798,132347,128792,124925,122413,120435,120429,122697,126269,129512,130321,129709,127653,125948,126645,128701,126016,119483,115983,115892,117211,118165,118247,117840,117207,116404
2,26,123919,124152,123681,122377,120695,119953,120474,122474,124914,126831,127089,126296,125143,124800,125663,127806,130061,130836,130618,130792,132525,136130,141948,149705,152454,156745,156340,156816,158779,157102,153430,149022,144623,140674,136006,132554,129000,125134,122623,120645,120640,122908,126480,129722,130531,129920,127865,126160,126857,128913,126230,119698,116200,116109,117428,118382,118464,118058,117425
2,27,123216,123870,124113,123650,122357,120687,119957,120486,122491,124936,126862,127136,126456,125331,125071,125983,128200,130432,131205,131181,131449,133012,136784,142721,150846,154941,160577,161382,161803,160885,157719,153723,149246,144830,140878,136209,132758,129205,125341,122832,120854,120850,123117,126689,129931,130740,130130,128076,126372,127069,129125,126442,119912,116415,116324,117644,118598,118680,118274
2,28,122070,123164,123827,124079,123627,122346,120687,119965,120500,122510,124964,126905,127291,126637,125593,125380,126366,128562,130792,131754,131822,131917,133642,137530,143824,153250,158558,165450,166202,163835,161476,157998,153935,149442,145022,141070,136402,132953,129402,125539,123031,121055,121051,123318,126889,130130,130940,130330,128277,126574,127271,129327,126646,120118,116621,116531,117850,118805,118887
2,29,120355,122016,123119,123790,124052,123612,122342,120691,119976,120517,122535,125005,127050,127460,126885,125887,125746,126711,128904,131315,132366,132262,132512,134348,138576,146108,156615,163188,170028,168127,164390,161734,158193,154115,149619,145199,141248,136582,133135,129585,125724,123217,121242,121239,123506,127076,130317,131127,130518,128466,126763,127461,129517,126837,120310,116815,116725,118045,118999
2,30,118062,120298,121967,123078,123758,124032,123602,122341,120697,119988,120538,122572,125139,127207,127691,127159,126230,126069,127031,129397,131891,132776,132818,133173,135329,140729,149240,160982,167505,171838,168643,164626,161911,158356,154274,149779,145361,141411,136747,133301,129754,125895,123389,121415,121412,123679,127249,130489,131299,130691,128640,126938,127636,129692,127013,120488,116995,116905,118224
2,31,115430,118002,120247,121922,123043,123733,124017,123595,122340,120703,120003,120569,122694,125282,127420,127944,127477,126529,126367,127493,129936,132262,133280,133420,134073,137308,143617,153261,164955,169166,172304,168851,164780,162052,158495,154413,149919,145504,141556,136895,133450,129904,126047,123543,121570,121568,123834,127404,130644,131454,130846,128796,127096,127794,129849,127171,120649,117157,117067
2,32,112845,115369,117948,120198,121882,123012,123712,124002,123586,122339,120711,120027,120678,122824,125477,127652,128238,127752,126804,126797,127996,130265,132712,133818,134227,135859,139948,147261,156861,166453,169579,172480,168979,164897,162167,158610,154531,150038,145626,141680,137021,133579,130034,126179,123676,121705,121703,123969,127538,130778,131588,130981,128932,127233,127931,129986,127310,120790,117299
2,33,110742,112779,115309,117895,120152,121845,122983,123689,123985,123575,122336,120724,120121,120792,122999,125688,127919,128487,128000,127199,127262,128281,130659,133183,134533,135824,138285,143216,150490,158200,166813,169726,172581,169071,164988,162257,158703,154627,150137,145727,141783,137127,133687,130145,126292,123790,121820,121819,124085,127653,130892,131703,131096,129049,127350,128049,130104,127428,120911
2,34,108869,110669,112713,115248,117841,120106,121806,122950,123660,123962,123560,122336,120800,120216,120946,123185,125926,128141,128708,128358,127623,127513,128633,131082,133828,135987,138063,141275,146171,151710,158522,166937,169808,172651,169141,165059,162331,158779,154705,150219,145812,141870,137217,133779,130239,126388,123888,121919,121919,124184,127752,130990,131801,131196,129149,127452,128151,130205,127531
2,35,106929,108787,110595,112644,115185,117785,120057,121763,122911,123627,123936,123547,122394,120877,120348,121109,123396,126121,128335,129028,128738,127843,127827,129014,131667,135158,138064,140807,143988,147286,151999,158628,167001,169862,172701,169193,165114,162388,158839,154768,150285,145880,141942,137291,133855,130317,126469,123971,122003,122003,124269,127836,131073,131885,131280,129235,127539,128238,130292
