year,servicio,sexo,edad,cases,py
2017,Metropolitano Oriente,T,55-65,63,73777
2017,Metropolitano Oriente,F,65-75,26,37164
2017,Metropolitano Oriente,M,65-75,17,23290
2017,Metropolitano Oriente,T,65-75,43,60454
2017,Metropolitano Oriente,F,>75,11,40362
2017,Metropolitano Oriente,M,>75,10,18914
2017,Metropolitano Oriente,T,>75,21,59276
2017,Metropolitano Sur,F,0-5,0,29018
2017,Metropolitano Sur,M,0-5,0,29913.5
2017,Metropolitano Sur,T,0-5,0,58931.5
2017,Metropolitano Sur,F,5-15,0,62065.5
2017,Metropolitano Sur,M,5-15,0,64728.5
2017,Metropolitano Sur,T,5-15,0,126794
2017,Metropolitano Sur,F,15-25,0,69688
2017,Metropolitano Sur,M,15-25,1,65128.5
2017,Metropolitano Sur,T,15-25,1,134816.5
2017,Metropolitano Sur,F,25-35,0,72230
2017,Metropolitano Sur,M,25-35,1,58462
2017,Metropolitano Sur,T,25-35,1,130692
2017,Metropolitano Sur,F,35-45,0,61389
2017,Metropolitano Sur,M,35-45,0,52078
